Timestamp,Bprice,Date,Open
2019-10-02,8323,2019-10-02,7851
2019-10-03,8382,2019-10-03,7787
2019-10-04,8236,2019-10-04,7908
2019-10-07,7870,2019-10-07,7956
2019-10-08,8212,2019-10-08,7898
2019-10-09,8190,2019-10-09,7896
2019-10-10,8588,2019-10-10,7905
2019-10-11,8587,2019-10-11,8047
2019-10-14,8284,2019-10-14,8044
2019-10-15,8354,2019-10-15,8075
2019-10-16,8162,2019-10-16,8120
2019-10-17,8003,2019-10-17,8177
2019-10-18,8077,2019-10-18,8150
2019-10-21,8231,2019-10-21,8137
2019-10-22,8223,2019-10-22,8188
2019-10-23,8027,2019-10-23,8090
2019-10-24,7470,2019-10-24,8180
2019-10-25,7432,2019-10-25,8151
2019-10-28,9552,2019-10-28,8286
2019-10-29,9219,2019-10-29,8313
2019-10-30,9433,2019-10-30,8284
2019-10-31,9165,2019-10-31,8314
2019-11-01,9148,2019-11-01,8335
2019-11-04,9418,2019-11-04,8446
2019-11-05,9310,2019-11-05,8447
2019-11-06,9343,2019-11-06,8427
2019-11-07,9204,2019-11-07,8455
2019-11-08,8766,2019-11-08,8423
2019-11-11,8718,2019-11-11,8431
2019-11-12,8802,2019-11-12,8471
2019-11-13,8762,2019-11-13,8455
2019-11-14,8632,2019-11-14,8461
2019-11-15,8458,2019-11-15,8524
2019-11-18,8176,2019-11-18,8529
2019-11-19,8121,2019-11-19,8578
2019-11-20,8082,2019-11-20,8544
2019-11-21,7617,2019-11-21,8528
2019-11-22,7286,2019-11-22,8531
2019-11-25,7130,2019-11-25,8560
2019-11-26,7164,2019-11-26,8635
2019-11-27,7524,2019-11-27,8670
2019-11-29,7757,2019-11-29,8682
2019-12-02,7310,2019-12-02,8673
2019-12-03,7297,2019-12-03,8461
2019-12-04,7193,2019-12-04,8557
2019-12-05,7396,2019-12-05,8588
2019-12-06,7547,2019-12-06,8634
2019-12-09,7337,2019-12-09,8651
2019-12-10,7221,2019-12-10,8624
2019-12-11,7202,2019-12-11,8631
2019-12-12,7189,2019-12-12,8645
2019-12-13,7252,2019-12-13,8714
2019-12-16,6880,2019-12-16,8791
2019-12-17,6612,2019-12-17,8829
2019-12-18,7284,2019-12-18,8835
2019-12-19,7151,2019-12-19,8839
2019-12-20,7190,2019-12-20,8912
2019-12-23,7322,2019-12-23,8950
2019-12-24,7251,2019-12-24,8955
2019-12-26,7194,2019-12-26,8970
2019-12-27,7244,2019-12-27,9049
2019-12-30,7220,2019-12-30,9004
2019-12-31,7168,2019-12-31,8919
2020-01-02,6944,2020-01-02,9039
2020-01-03,7326,2020-01-03,8976
2020-01-06,7759,2020-01-06,8944
2020-01-07,8165,2020-01-07,9077
2020-01-08,8043,2020-01-08,9068
2020-01-09,7818,2020-01-09,9202
2020-01-10,8185,2020-01-10,9233
2020-01-13,8105,2020-01-13,9214
2020-01-14,8842,2020-01-14,9271
2020-01-15,8814,2020-01-15,9254
2020-01-16,8722,2020-01-16,9313
2020-01-17,8900,2020-01-17,9392
2020-01-21,8722,2020-01-21,9361
2020-01-22,8659,2020-01-22,9414
2020-01-23,8388,2020-01-23,9378
2020-01-24,8428,2020-01-24,9446
2020-01-27,8896,2020-01-27,9092
2020-01-28,9386,2020-01-28,9202
2020-01-29,9280,2020-01-29,9318
2020-01-30,9502,2020-01-30,9211
2020-01-31,9334,2020-01-31,9324
2020-02-03,9285,2020-02-03,9191
2020-02-04,9162,2020-02-04,9398
2020-02-05,9615,2020-02-05,9574
2020-02-06,9756,2020-02-06,9541
2020-02-07,9808,2020-02-07,9527
2020-02-10,9855,2020-02-10,9494
2020-02-11,10275,2020-02-11,9681
2020-02-12,10354,2020-02-12,9689
2020-02-13,10242,2020-02-13,9657
2020-02-14,10369,2020-02-14,9729
2020-02-18,10181,2020-02-18,9679
2020-02-19,9605,2020-02-19,9783
2020-02-20,9607,2020-02-20,9799
2020-02-21,9697,2020-02-21,9708
2020-02-24,9664,2020-02-24,9188
2020-02-25,9309,2020-02-25,9301
2020-02-26,8786,2020-02-26,9012
2020-02-27,8805,2020-02-27,8744
2020-02-28,8712,2020-02-28,8270
2020-03-02,8913,2020-03-02,8667
2020-03-03,8754,2020-03-03,8965
2020-03-04,8759,2020-03-04,8834
2020-03-05,9067,2020-03-05,8790
2020-03-06,9156,2020-03-06,8469
2020-03-09,8039,2020-03-09,7958
2020-03-10,7932,2020-03-10,8220
2020-03-11,7885,2020-03-11,8136
2020-03-12,7937,2020-03-12,7399
2020-03-13,4830,2020-03-13,7610
2020-03-16,5348,2020-03-16,7393
2020-03-17,5026,2020-03-17,7072
2020-03-18,5358,2020-03-18,6902
2020-03-19,5410,2020-03-19,6996
2020-03-20,6195,2020-03-20,7248
2020-03-23,5823,2020-03-23,6847
2020-03-24,6502,2020-03-24,7196
2020-03-25,6768,2020-03-25,7421
2020-03-26,6698,2020-03-26,7462
2020-03-27,6764,2020-03-27,7554
2020-03-30,5885,2020-03-30,7583
2020-03-31,6405,2020-03-31,7740
2020-04-01,6428,2020-04-01,7460
2020-04-02,6653,2020-04-02,7317
2020-04-03,6809,2020-04-03,7477
2020-04-06,6777,2020-04-06,7660
2020-04-07,7343,2020-04-07,8130
2020-04-08,7206,2020-04-08,7976
2020-04-09,7365,2020-04-09,8169
2020-04-13,6915,2020-04-13,8128
2020-04-14,6858,2020-04-14,8353
2020-04-15,6872,2020-04-15,8356
2020-04-16,6624,2020-04-16,8479
2020-04-17,7112,2020-04-17,8667
2020-04-20,7130,2020-04-20,8553
2020-04-21,6840,2020-04-21,8461
2020-04-22,6853,2020-04-22,8435
2020-04-23,7131,2020-04-23,8529
2020-04-24,7478,2020-04-24,8530
2020-04-27,7699,2020-04-27,8718
2020-04-28,7791,2020-04-28,8826
2020-04-29,7765,2020-04-29,8803
2020-04-30,8778,2020-04-30,8911
2020-05-01,8629,2020-05-01,8681
2020-05-04,8904,2020-05-04,8555
2020-05-05,8886,2020-05-05,8810
2020-05-06,9031,2020-05-06,8875
2020-05-07,9171,2020-05-07,8974
2020-05-08,10002,2020-05-08,9057
2020-05-11,8754,2020-05-11,9055
2020-05-12,8617,2020-05-12,9225
2020-05-13,8815,2020-05-13,9006
2020-05-14,9306,2020-05-14,8788
2020-05-15,9790,2020-05-15,8840
2020-05-18,9669,2020-05-18,9177
2020-05-19,9719,2020-05-19,9227
2020-05-20,9786,2020-05-20,9306
2020-05-21,9511,2020-05-21,9375
2020-05-22,9058,2020-05-22,9279
2020-05-26,8900,2020-05-26,9501
2020-05-27,8843,2020-05-27,9346
2020-05-28,9198,2020-05-28,9393
2020-05-29,9569,2020-05-29,9382
2020-06-01,9451,2020-06-01,9471
2020-06-02,10204,2020-06-02,9567
2020-06-03,9526,2020-06-03,9652
2020-06-04,9658,2020-06-04,9650
2020-06-05,9795,2020-06-05,9704
2020-06-08,9754,2020-06-08,9823
2020-06-09,9783,2020-06-09,9867
2020-06-10,9775,2020-06-10,10012
2020-06-11,9892,2020-06-11,9791
2020-06-12,9286,2020-06-12,9716
2020-06-15,9330,2020-06-15,9427
2020-06-16,9427,2020-06-16,9950
2020-06-17,9526,2020-06-17,9943
2020-06-18,9455,2020-06-18,9892
2020-06-19,9380,2020-06-19,10042
2020-06-22,9285,2020-06-22,9945
2020-06-23,9692,2020-06-23,10131
2020-06-24,9621,2020-06-24,10093
2020-06-25,9277,2020-06-25,9899
2020-06-26,9241,2020-06-26,9995
2020-06-29,9127,2020-06-29,9772
2020-06-30,9185,2020-06-30,9875
2020-07-01,9134,2020-07-01,10064
2020-07-02,9236,2020-07-02,10269
2020-07-06,9089,2020-07-06,10360
2020-07-07,9349,2020-07-07,10412
2020-07-08,9256,2020-07-08,10409
2020-07-09,9440,2020-07-09,10564
2020-07-10,9238,2020-07-10,10546
2020-07-13,9296,2020-07-13,10730
2020-07-14,9238,2020-07-14,10310
2020-07-15,9255,2020-07-15,10577
2020-07-16,9194,2020-07-16,10444
2020-07-17,9131,2020-07-17,10501
2020-07-20,9215,2020-07-20,10526
2020-07-21,9164,2020-07-21,10838
2020-07-22,9393,2020-07-22,10688
2020-07-23,9537,2020-07-23,10690
2020-07-24,9613,2020-07-24,10294
2020-07-27,9939,2020-07-27,10422
2020-07-28,11042,2020-07-28,10509
2020-07-29,10935,2020-07-29,10475
2020-07-30,11103,2020-07-30,10450
2020-07-31,11115,2020-07-31,10741
2020-08-03,11078,2020-08-03,10849
2020-08-04,11243,2020-08-04,10898
2020-08-05,11194,2020-08-05,10968
2020-08-06,11750,2020-08-06,10990
2020-08-07,11773,2020-08-07,11073
2020-08-10,11684,2020-08-10,11034
2020-08-11,11893,2020-08-11,10943
2020-08-12,11392,2020-08-12,10878
2020-08-13,11573,2020-08-13,11027
2020-08-14,11777,2020-08-14,11042
2020-08-17,11914,2020-08-17,11083
2020-08-18,12294,2020-08-18,11171
2020-08-19,11970,2020-08-19,11215
2020-08-20,11734,2020-08-20,11096
2020-08-21,11866,2020-08-21,11258
2020-08-24,11653,2020-08-24,11449
2020-08-25,11764,2020-08-25,11370
2020-08-26,11337,2020-08-26,11517
2020-08-27,11467,2020-08-27,11688
2020-08-28,11302,2020-08-28,11689
2020-08-31,11708,2020-08-31,11719
2020-09-01,11660,2020-09-01,11851
2020-09-02,11923,2020-09-02,12047
2020-09-03,11397,2020-09-03,11862
2020-09-04,10188,2020-09-04,11396
2020-09-08,10368,2020-09-08,10901
2020-09-09,10122,2020-09-09,11065
2020-09-10,10228,2020-09-10,11236
2020-09-11,10353,2020-09-11,11010
2020-09-14,10331,2020-09-14,11010
2020-09-15,10675,2020-09-15,11194
2020-09-16,10786,2020-09-16,11222
2020-09-17,10948,2020-09-17,10796
2020-09-18,10944,2020-09-18,10973
2020-09-21,10920,2020-09-21,10610
2020-09-22,10430,2020-09-22,10873
2020-09-23,10532,2020-09-23,10951
2020-09-24,10234,2020-09-24,10551
2020-09-25,10732,2020-09-25,10680
2020-09-28,10774,2020-09-28,11084
2020-09-29,10692,2020-09-29,11109
2020-09-30,10841,2020-09-30,11093
2020-10-01,10778,2020-10-01,11292
2020-10-02,10619,2020-10-02,11083
2020-10-05,10673,2020-10-05,11169
2020-10-06,10789,2020-10-06,11315
2020-10-07,10604,2020-10-07,11272
2020-10-08,10671,2020-10-08,11443
2020-10-09,10923,2020-10-09,11488
2020-10-12,11377,2020-10-12,11732
2020-10-13,11540,2020-10-13,11902
2020-10-14,11428,2020-10-14,11889
2020-10-15,11431,2020-10-15,11560
2020-10-16,11504,2020-10-16,11762
2020-10-19,11508,2020-10-19,11732
2020-10-20,11758,2020-10-20,11532
2020-10-21,11925,2020-10-21,11530
2020-10-22,12832,2020-10-22,11527
2020-10-23,12990,2020-10-23,11536
2020-10-26,13037,2020-10-26,11441
2020-10-27,13076,2020-10-27,11409
2020-10-28,13651,2020-10-28,11231
2020-10-29,13289,2020-10-29,11064
2020-10-30,13459,2020-10-30,11103
2020-11-02,13575,2020-11-02,11010
2020-11-03,14023,2020-11-03,11039
2020-11-04,14156,2020-11-04,11444
2020-11-05,15591,2020-11-05,11816
2020-11-06,15596,2020-11-06,11870
2020-11-09,15329,2020-11-09,12047
2020-11-10,15317,2020-11-10,11622
2020-11-11,15709,2020-11-11,11657
2020-11-12,16296,2020-11-12,11803
2020-11-13,16339,2020-11-13,11795
2020-11-16,16725,2020-11-16,11847
2020-11-17,17680,2020-11-17,11913
2020-11-18,17798,2020-11-18,11896
2020-11-19,17821,2020-11-19,11779
2020-11-20,18687,2020-11-20,11893
2020-11-23,18399,2020-11-23,11917
2020-11-24,19173,2020-11-24,11939
2020-11-25,18740,2020-11-25,12054
2020-11-27,17139,2020-11-27,12159
2020-11-30,19710,2020-11-30,12224
2020-12-01,18793,2020-12-01,12313
2020-12-02,19227,2020-12-02,12286
2020-12-03,19455,2020-12-03,12369
2020-12-04,18670,2020-12-04,12399
2020-12-07,19181,2020-12-07,12461
2020-12-08,18319,2020-12-08,12503
2020-12-09,18554,2020-12-09,12592
2020-12-10,18248,2020-12-10,12248
2020-12-11,18029,2020-12-11,12337
2020-12-14,19277,2020-12-14,12447
2020-12-15,19440,2020-12-15,12543
2020-12-16,21379,2020-12-16,12611
2020-12-17,22847,2020-12-17,12731
2020-12-18,23151,2020-12-18,12805
2020-12-21,22745,2020-12-21,12596
2020-12-22,23825,2020-12-22,12785
2020-12-23,23253,2020-12-23,12835
2020-12-24,23716,2020-12-24,12792
2020-12-28,27037,2020-12-28,12915
2020-12-29,27376,2020-12-29,12965
2020-12-30,28857,2020-12-30,12907
2020-12-31,28983,2020-12-31,12877
2021-01-04,32035,2021-01-04,12959
2021-01-05,34047,2021-01-05,12666
2021-01-06,36860,2021-01-06,12666
2021-01-07,39486,2021-01-07,12867
2021-01-08,40670,2021-01-08,13160
2021-01-11,35545,2021-01-11,13049
2021-01-12,34012,2021-01-12,13062
2021-01-13,37393,2021-01-13,13088
2021-01-14,39158,2021-01-14,13175
2021-01-15,36829,2021-01-15,13100
2021-01-19,36020,2021-01-19,13133
2021-01-20,35539,2021-01-20,13343
2021-01-21,30798,2021-01-21,13521
2021-01-22,33002,2021-01-22,13475
2021-01-25,32243,2021-01-25,13681
2021-01-26,32542,2021-01-26,13682
2021-01-27,30419,2021-01-27,13487
2021-01-28,33403,2021-01-28,13323
2021-01-29,34314,2021-01-29,13285
2021-02-01,33523,2021-02-01,13226
2021-02-02,35530,2021-02-02,13543
2021-02-03,37676,2021-02-03,13718
2021-02-04,37002,2021-02-04,13674
2021-02-05,38279,2021-02-05,13825
2021-02-08,46364,2021-02-08,13937
2021-02-09,46590,2021-02-09,13967
2021-02-10,44878,2021-02-10,14093
2021-02-11,48013,2021-02-11,14045
2021-02-12,47471,2021-02-12,13979
2021-02-16,49160,2021-02-16,14152
2021-02-17,52118,2021-02-17,13912
2021-02-18,51608,2021-02-18,13815
2021-02-19,55917,2021-02-19,13929
2021-02-22,54123,2021-02-22,13714
2021-02-23,48880,2021-02-23,13263
2021-02-24,50625,2021-02-24,13400
2021-02-25,46800,2021-02-25,13513
2021-02-26,46340,2021-02-26,13233
2021-03-01,49618,2021-03-01,13406
2021-03-02,48356,2021-03-02,13599
2021-03-03,50478,2021-03-03,13336
2021-03-04,48449,2021-03-04,12954
2021-03-05,48861,2021-03-05,12860
2021-03-08,52299,2021-03-08,12904
2021-03-09,54882,2021-03-09,12923
2021-03-10,55997,2021-03-10,13235
2021-03-11,57764,2021-03-11,13273
2021-03-12,57253,2021-03-12,13223
2021-03-15,59133,2021-03-15,13323
2021-03-16,55755,2021-03-16,13523
2021-03-17,56872,2021-03-17,13337
2021-03-18,58913,2021-03-18,13349
2021-03-19,57666,2021-03-19,13120
2021-03-22,57411,2021-03-22,13279
2021-03-23,54205,2021-03-23,13381
2021-03-24,54477,2021-03-24,13289
2021-03-25,52508,2021-03-25,12845
2021-03-26,51416,2021-03-26,12996
2021-03-29,55784,2021-03-29,13104
2021-03-30,57628,2021-03-30,13009
2021-03-31,58730,2021-03-31,13123
2021-04-01,58735,2021-04-01,13414
2021-04-05,58207,2021-04-05,13595
2021-04-06,59054,2021-04-06,13682
2021-04-07,58020,2021-04-07,13675
2021-04-08,55947,2021-04-08,13797
2021-04-09,58049,2021-04-09,13787
2021-04-12,59965,2021-04-12,13854
2021-04-13,59835,2021-04-13,13902
2021-04-14,63554,2021-04-14,14004
2021-04-15,62969,2021-04-15,13983
2021-04-16,63253,2021-04-16,14059
2021-04-19,56251,2021-04-19,13985
2021-04-20,55703,2021-04-20,13894
2021-04-21,56508,2021-04-21,13746
2021-04-22,53809,2021-04-22,13953
2021-04-23,51732,2021-04-23,13861
2021-04-26,49076,2021-04-26,14052
2021-04-27,54057,2021-04-27,14171
2021-04-28,55071,2021-04-28,14083
2021-04-29,54884,2021-04-29,14205
2021-04-30,53584,2021-04-30,13971
2021-05-03,56610,2021-05-03,14032
2021-05-04,57213,2021-05-04,13775
2021-05-05,53242,2021-05-05,13731
2021-05-06,57473,2021-05-06,13558
2021-05-07,56428,2021-05-07,13723
2021-05-10,58281,2021-05-10,13688
2021-05-11,55884,2021-05-11,13116
2021-05-12,56750,2021-05-12,13215
2021-05-13,49007,2021-05-13,13151
2021-05-14,49702,2021-05-14,13256
2021-05-17,46442,2021-05-17,13369
2021-05-18,43596,2021-05-18,13417
2021-05-19,42912,2021-05-19,13078
2021-05-20,36964,2021-05-20,13357
2021-05-21,40784,2021-05-21,13616
2021-05-24,34755,2021-05-24,13557
2021-05-25,38729,2021-05-25,13722
2021-05-26,38411,2021-05-26,13694
2021-05-27,39266,2021-05-27,13743
2021-05-28,38445,2021-05-28,13792
2021-06-01,37311,2021-06-01,13829
2021-06-02,36663,2021-06-02,13743
2021-06-03,37585,2021-06-03,13656
2021-06-04,39189,2021-06-04,13697
2021-06-07,35816,2021-06-07,13803
2021-06-08,33515,2021-06-08,13946
2021-06-09,33450,2021-06-09,13980
2021-06-10,37338,2021-06-10,13934
2021-06-11,36705,2021-06-11,14031
2021-06-14,39067,2021-06-14,14083
2021-06-15,40526,2021-06-15,14167
2021-06-16,40189,2021-06-16,14086
2021-06-17,38325,2021-06-17,13999
2021-06-18,38068,2021-06-18,14097
2021-06-21,35592,2021-06-21,14047
2021-06-22,31687,2021-06-22,14138
2021-06-23,32448,2021-06-23,14263
2021-06-24,33675,2021-06-24,14357
2021-06-25,34639,2021-06-25,14401
2021-06-28,34644,2021-06-28,14418
2021-06-29,34457,2021-06-29,14509
2021-06-30,35848,2021-06-30,14510
2021-07-01,35047,2021-07-01,14494
2021-07-02,33537,2021-07-02,14583
2021-07-06,33748,2021-07-06,14662
2021-07-07,34211,2021-07-07,14753
2021-07-08,33839,2021-07-08,14409
2021-07-09,32877,2021-07-09,14578
2021-07-12,34228,2021-07-12,14744
2021-07-13,33158,2021-07-13,14715
2021-07-14,32687,2021-07-14,14781
2021-07-15,32815,2021-07-15,14636
2021-07-16,31739,2021-07-16,14598
2021-07-19,31783,2021-07-19,14236
2021-07-20,30816,2021-07-20,14330
2021-07-21,29790,2021-07-21,14509
2021-07-22,32118,2021-07-22,14653
2021-07-23,32298,2021-07-23,14753
2021-07-26,35365,2021-07-26,14821
2021-07-27,37318,2021-07-27,14808
2021-07-28,39406,2021-07-28,14716
2021-07-29,40003,2021-07-29,14771
2021-07-30,40006,2021-07-30,14616
2021-08-02,40000,2021-08-02,14759
2021-08-03,39194,2021-08-03,14714
2021-08-04,38138,2021-08-04,14747
2021-08-05,39750,2021-08-05,14794
2021-08-06,40882,2021-08-06,14864
2021-08-09,43816,2021-08-09,14856
2021-08-10,46333,2021-08-10,14888
2021-08-11,45608,2021-08-11,14834
2021-08-12,45611,2021-08-12,14751
2021-08-13,44418,2021-08-13,14825
2021-08-16,47056,2021-08-16,14772
2021-08-17,45983,2021-08-17,14671
2021-08-18,44649,2021-08-18,14636
2021-08-19,44778,2021-08-19,14423
2021-08-20,46735,2021-08-20,14572
2021-08-23,49336,2021-08-23,14777
2021-08-24,49524,2021-08-24,14978
2021-08-25,47745,2021-08-25,15039
2021-08-26,48972,2021-08-26,15025
2021-08-27,46963,2021-08-27,14970
2021-08-30,48807,2021-08-30,15166
2021-08-31,47075,2021-08-31,15263
2021-09-01,47156,2021-09-01,15309
2021-09-02,48863,2021-09-02,15358
2021-09-03,49329,2021-09-03,15313
2021-09-07,52677,2021-09-07,15376
2021-09-08,46809,2021-09-08,15360
2021-09-09,46078,2021-09-09,15296
2021-09-10,46369,2021-09-10,15333
2021-09-13,46059,2021-09-13,15211
2021-09-14,44969,2021-09-14,15168
2021-09-15,47072,2021-09-15,15071
2021-09-16,48168,2021-09-16,15120
2021-09-17,47785,2021-09-17,15163
2021-09-20,47249,2021-09-20,14758
2021-09-21,42902,2021-09-21,14803
2021-09-22,40619,2021-09-22,14801
2021-09-23,43605,2021-09-23,14960
2021-09-24,44889,2021-09-24,14962
2021-09-27,43183,2021-09-27,14954
2021-09-28,42238,2021-09-28,14787
2021-09-29,41011,2021-09-29,14615
2021-09-30,41522,2021-09-30,14583
2021-10-01,43758,2021-10-01,14495
2021-10-04,48206,2021-10-04,14493
2021-10-05,49144,2021-10-05,14313
2021-10-06,51506,2021-10-06,14289
2021-10-07,55344,2021-10-07,14632
2021-10-08,53801,2021-10-08,14695
2021-10-11,54626,2021-10-11,14540
2021-10-12,57452,2021-10-12,14539
2021-10-13,56243,2021-10-13,14537
2021-10-14,57407,2021-10-14,14718
2021-10-15,57398,2021-10-15,14891
2021-10-18,61546,2021-10-18,14840
2021-10-19,61972,2021-10-19,15073
2021-10-20,64288,2021-10-20,15160
2021-10-21,66064,2021-10-21,15105
2021-10-22,62355,2021-10-22,15158
2021-10-25,60884,2021-10-25,15143
2021-10-26,63071,2021-10-26,15318
2021-10-27,60345,2021-10-27,15276
2021-10-28,58538,2021-10-28,15305
2021-10-29,60587,2021-10-29,15323
2021-11-01,61373,2021-11-01,15541
2021-11-02,61030,2021-11-02,15584
2021-11-03,63241,2021-11-03,15659
2021-11-04,62955,2021-11-04,15850
2021-11-05,61442,2021-11-05,16004
2021-11-08,67562,2021-11-08,15996
2021-11-09,66954,2021-11-09,16024
2021-11-10,64977,2021-11-10,15754
2021-11-11,64839,2021-11-11,15752
2021-11-12,64255,2021-11-12,15753
2021-11-15,63584,2021-11-15,15895
2021-11-16,60172,2021-11-16,15840
2021-11-17,60381,2021-11-17,15974
2021-11-18,56921,2021-11-18,15973
2021-11-19,58133,2021-11-19,16042
2021-11-22,56302,2021-11-22,16121
2021-11-23,57578,2021-11-23,15810
2021-11-24,57188,2021-11-24,15678
2021-11-26,53588,2021-11-26,15664
2021-11-29,57828,2021-11-29,15719
2021-11-30,57026,2021-11-30,15717
2021-12-01,57230,2021-12-01,15752
2021-12-02,56508,2021-12-02,15182
2021-12-03,53714,2021-12-03,15429
2021-12-06,50565,2021-12-06,15118
2021-12-07,50645,2021-12-07,15511
2021-12-08,50511,2021-12-08,15691
2021-12-09,47660,2021-12-09,15721
2021-12-10,47137,2021-12-10,15630
2021-12-13,46757,2021-12-13,15621
2021-12-14,48393,2021-12-14,15216
2021-12-15,48885,2021-12-15,15231
2021-12-16,47658,2021-12-16,15629
2021-12-17,46174,2021-12-17,15037
2021-12-20,46910,2021-12-20,14933
2021-12-21,48935,2021-12-21,15140
2021-12-22,48628,2021-12-22,15319
2021-12-23,50786,2021-12-23,15545
2021-12-27,50692,2021-12-27,15697
2021-12-28,47601,2021-12-28,15895
2021-12-29,46409,2021-12-29,15795
2021-12-30,47133,2021-12-30,15759
2021-12-31,46250,2021-12-31,15723
2022-01-03,46442,2022-01-03,15733
2022-01-04,45863,2022-01-04,15852
2022-01-05,43436,2022-01-05,15547
2022-01-06,43121,2022-01-06,15024
2022-01-07,41528,2022-01-07,15096
2022-01-10,41849,2022-01-10,14752
2022-01-11,42723,2022-01-11,14919
2022-01-12,43926,2022-01-12,15263
2022-01-13,42546,2022-01-13,15245
2022-01-14,43099,2022-01-14,14708
2022-01-18,42381,2022-01-18,14682
2022-01-19,41708,2022-01-19,14582
2022-01-20,40684,2022-01-20,14463
2022-01-21,36481,2022-01-21,14046
2022-01-24,36679,2022-01-24,13482
2022-01-25,36949,2022-01-25,13611
2022-01-26,36824,2022-01-26,13872
2022-01-27,37147,2022-01-27,13711
2022-01-28,37770,2022-01-28,13437
2022-01-31,38522,2022-01-31,13812
2022-02-01,38740,2022-02-01,14277
2022-02-02,36913,2022-02-02,14494
2022-02-03,37092,2022-02-03,14046
2022-02-04,41584,2022-02-04,13958
2022-02-07,43834,2022-02-07,14119
2022-02-08,44133,2022-02-08,13984
2022-02-09,44397,2022-02-09,14368
2022-02-10,43531,2022-02-10,14229
2022-02-11,42401,2022-02-11,14214
2022-02-14,42581,2022-02-14,13769
2022-02-15,44536,2022-02-15,13997
2022-02-16,43949,2022-02-16,14039
2022-02-17,40566,2022-02-17,14004
2022-02-18,40015,2022-02-18,13735
2022-02-22,38262,2022-02-22,13424
2022-02-23,37291,2022-02-23,13512
2022-02-24,38345,2022-02-24,12588
2022-02-25,39223,2022-02-25,13485
2022-02-28,43226,2022-02-28,13571
2022-03-01,44419,2022-03-01,13717
2022-03-02,43935,2022-03-02,13598
2022-03-03,42464,2022-03-03,13838
2022-03-04,39141,2022-03-04,13455
2022-03-07,38033,2022-03-07,13328
2022-03-08,38753,2022-03-08,12800
2022-03-09,41957,2022-03-09,13114
2022-03-10,39438,2022-03-10,13098
2022-03-11,38741,2022-03-11,13230
2022-03-14,37820,2022-03-14,12795
2022-03-15,39681,2022-03-15,12685
2022-03-16,39321,2022-03-16,13119
2022-03-17,41133,2022-03-17,13361
2022-03-18,40947,2022-03-18,13565
2022-03-21,41251,2022-03-21,13860
2022-03-22,41071,2022-03-22,13866
2022-03-23,42373,2022-03-23,13990
2022-03-24,42905,2022-03-24,14001
2022-03-25,44004,2022-03-25,14195
2022-03-28,46859,2022-03-28,14177
2022-03-29,47116,2022-03-29,14500
2022-03-30,47448,2022-03-30,14559
2022-03-31,47064,2022-03-31,14445
